"season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"autumn","small","high",5.9,11.9,NA,1.88,5,1,2,NA,75.2,0,0,0,0,0,0
"winter","small","high",6.8,9.1,NA,0.78,10,1,14,NA,28.1,0,0,1.9,0,0,0
"summer","small","medium",6.6,8.8,NA,0.95,20,1,7,NA,74.8,0,0,1.2,0,0,0
"winter","small","high",6.6,11.8,NA,2.21,10,1,4,NA,79.1,0,0,0,0,0,0
"winter","small","medium",6.9,9.2,NA,2.21,10,2,13,NA,25.1,0,0,2.9,2.2,3.4,1.9
"winter","small","high",7.66,10.8,4,0.997,15,1.5,7.333,1,17.9,0,0,1.7,1.7,0,1.2
"autumn","small","high",7.6,10.5,3.05,1.002,13.333,1.667,10.833,NA,41.5,0,0,0,0,0,0
"autumn","small","medium",7.8,6.9,31.375,0.933,2138.57007,152.429,317.5,15.4,30.6,4.1,1.6,3.9,0,0,12.5
"winter","medium","medium",8,7,37.091,2.237,146.364,84.091,172.778,2.3,7.6,19.4,15.5,3.2,2.9,0,1.5
"spring","medium","medium",8.2,7.8,37.625,1.453,105.714,66.714,143.39999,2.6,0,5.1,9.2,7.5,10.5,0,0
"autumn","medium","medium",8.2,10.7,134.66701,4.504,617.77802,49.444,164.778,19.2,2.8,23.4,1.7,0,15.1,10.9,0
"summer","medium","medium",8,8.5,131.46899,3.454,792,63.1,286.60001,8.2,2.1,4,3.3,0,8,29.3,0
"autumn","medium","high",8.9,10.5,34.8,6,122.556,41.111,144.11099,27.03,3.2,1,0,0,5.1,17.8,0
"summer","medium","high",8.2,9.2,30.037,5.184,174.8,86.6,130.8,3.45,2.4,12.3,0,0,1.2,2.2,2.2
"summer","medium","medium",7.8,8.8,29.078,2.823,263.556,27,95.12,11.5,35.2,6.9,1.2,2.9,13.6,1,0
"summer","medium","high",7.5,10.8,10.357,3.35,127.667,22,34.321,1.2,7.8,0,0,1.9,4.7,0,29.4
"spring","medium","high",7.4,9,13.75,5.268,58.75,56.25,64,2.5,2.9,0,4.6,1.7,10.6,27.6,3.1
"spring","medium","medium",7.5,8.9,55.8,4.408,389,127.4,206.2,5,0,0,0,1.9,17.8,50.8,9.2
"spring","medium","medium",7.8,10.4,49,7.557,6433.33008,170.66701,341,2.3,0,0,0,8.7,6.1,0,0
"autumn","medium","medium",9.1,8,101.2,4.306,273.75,152.875,290.31299,10.7,0,1,0,0,19.3,61.1,0
"autumn","medium","high",8.9,8,60.2,4.033,306.47101,136,242.94099,18.4,0,7.7,0,0,11.6,54.3,0
"summer","medium","low",8.5,10.74,56.292,0.694,264.79999,43.4,124.942,30.48,13.7,4.1,0,2.7,8,1.4,1.1
"autumn","medium","high",8.3,8.6,75,5.18,560,30.5,170,16.7,1.2,1.5,0,0,14.1,70.7,1
"spring","medium","high",7.8,6.3,136.66701,3.734,154.444,35.556,175.33299,2.7,2.9,3.1,2.4,14.3,53.7,3.3,0
"autumn","medium","medium",7.6,9.2,64.778,6.164,720,21.778,242.5,54.2,11.2,0,0,2,61.1,5.1,0
"summer","medium","medium",7.5,9.2,61.557,7.035,558.33301,24.5,257.33301,19.5,3.8,0,5.4,2.3,15.8,9.5,2.7
"autumn","medium","low",7.5,8.6,57.5,7.368,577,67.3,254.444,22,14.2,0,0,2.8,13.2,22.4,0
"spring","medium","low",7.7,4.8,88.909,1.714,669.091,38.182,205.18201,2.8,9.7,1.5,24.3,1.7,2.4,0,0
"spring","medium","low",7.9,7.2,55.25,2.235,89.375,17.5,141.5,17,8.7,31.9,0,0,3.4,0,0
"spring","medium","high",8.06,2.2,39,2.085,773.125,90.75,163.25,26,2.7,12.1,6.5,7,1.7,0,1.9
"autumn","medium","high",8.5,7.5,9.3,1.557,260,9.6,18.1,3.9,14.5,1.2,5.2,0,1.6,8.4,0
"autumn","medium","medium",8.2,10.4,63.3,0.389,217.14301,24.333,114,2.7,19.8,1,0,0,24.1,24.6,0
"winter","medium","medium",8,4.8,58.767,0.308,93.75,33.375,110.875,2.7,7.6,15.1,13.7,2.7,5.4,0,1
"autumn","medium","high",8.7,10.8,1.118,0.534,26.364,14.818,20.9,1.4,40.7,0,0,0,0,0,0
"spring","medium","high",8.4,11.2,0.5,0.32,10,21.6,27.6,0.6,37.1,1.2,0,0,0,0,0
"winter","medium","low",8.5,8.3,36.583,5.632,440.83301,149,266.36401,19.827,2.5,3.2,5.4,0,12.7,5,1.6
"autumn","medium","low",8.3,8.8,64.768,6.272,357.16699,219,302.5,8.267,3.5,5.6,19.8,1.4,9.5,2.1,1.2
"autumn","medium","medium",8.4,10.8,47.304,7.773,258.909,145.091,223.04401,13.36,1,8.6,1.5,0,6.9,39.8,0
"autumn","medium","high",7.9,11.9,11.862,2.209,128.636,48.091,69.079,2.755,0,0,0,0,37.9,19.8,0
"autumn","medium","medium",9.13,12,30.496,4.971,99.6,64.6,146.265,54.13,1,25.2,1,0,2.4,20.9,5.5
"autumn","medium","high",7.4,11.4,12.031,1.621,176.8,36.3,58.599,36.1,4.1,0,1.5,1.9,16.2,3.1,1.5
"summer","medium","medium",8.3,8.9,271.5,6.315,375,169,313.5,2.8,16.5,4.5,2.8,1.7,16.5,3.8,2.4
"winter","medium","medium",8.2,10.4,41,5.16,410,38,61,6,4.9,15.9,1.5,0,3.4,25.7,1
"summer","medium","medium",8.2,11.2,36,4.4,32.5,108,155.5,3,12.4,13.9,7.7,0,13.1,11.6,1.2
"spring","medium","low",8.17,6.3,37.3,0.527,82,62,133.10001,1.4,5.9,41.8,11.2,0,0,0,0
"autumn","medium","low",8.33,10.6,36.156,1.137,119.444,92.889,112.855,10.5,74.8,1.2,0,1.7,0,0,0
"spring","medium","medium",8.5,6.7,45.609,4.411,160,88.364,180.364,32.833,1.9,22.9,1,1.2,0,0,3.9
"autumn","medium","medium",8.1,9.1,47.267,9.367,169.091,75,127.778,3.667,1.9,1,0,0,25.8,37.1,0
"winter","medium","high",8.2,11.9,12.25,2.348,121.875,14,27.5,4.6,2.1,3,1.4,0,12.8,16.9,0
"summer","medium","high",8.1,9.4,11,2.251,48.75,17.375,66.875,2.5,28.7,0,14.1,3.2,6.4,8.4,0
"summer","medium","low",7.8,7.9,87,12.13,652.5,93.25,209,6,1.4,10.1,2.4,3.4,18.1,0,1.4
"spring","medium","high",8.26,5,44.818,0.526,97.273,105.455,181.636,20.6,0,10.3,16,7.9,0,0,0
"summer","medium","high",8.11,6.6,49.857,0.993,194.28,77,197.571,13,4.2,26.5,12,3.9,1.5,0,0
"summer","medium","high",7.87,1.8,49.25,0.611,357.125,128.25,185.125,4.5,1.2,8.8,2.7,3.9,0,0,0
"winter","medium","high",7.2,10.1,49.5,3.955,55,18,138,49,2.4,0,3.6,1.9,2.9,4.6,0
"spring","medium","high",7.8,8.3,51.5,2.098,30.2,24.6,184.39999,31.3,1.9,3.9,6.3,3.9,1.4,0,3.1
"winter","medium","medium",7.9,11.3,82.5,6.283,300,12.333,53.333,13.7,12.3,0,0,0,10,12.8,0
"summer","medium","medium",8,8.8,176.25,0.618,440,16.25,79.25,3.5,8,13.8,18.9,2.2,13.1,0,0
"winter","large","low",7.7,9.3,66,3.56,310,37,NA,17.35,11.9,24.5,0,5.6,2.7,0,0
"autumn","large","low",8.1,9.07,71.39,2.904,1768.80005,27.6,123.06,41.54,5.8,8.5,0,9,1.7,0,0
"winter","large","low",8.7,5.4,48,1.139,144.286,36.714,66.833,22.017,1.2,12,0,0,0,0,1.7
"summer","large","low",7.9,5.3,48,0.513,138.33299,61.333,89.167,4,0,9.8,9.1,0,0,0,0
"autumn","large","low",8.7,12.2,32.23,1.887,233.5,17.5,66.167,39.333,11.8,7,0,1.2,0,0,0
"winter","large","low",8.6,6.5,43,0.668,95,10.5,74.667,63.5,30.1,9.6,0,2.3,0,0,0
"spring","large","high",7.4,7.3,19,4.39,120,74.857,166.286,5.3,0,0,14.6,0,4.5,1.7,4.5
"summer","large","high",7.8,10.4,22.5,4.72,178.75,116.5,201,2.7,0,0,7.3,1.2,8.5,10.4,3.6
"winter","large","low",8.5,9.8,70.25,1.644,285,68.714,132,16.028,4.6,4.6,0,1.7,1.7,0,0
"spring","large","low",7.98,5.6,47.06,3.088,357,311.39999,342.29999,18.53,2.4,5.2,3.8,0,4.3,3.1,3.1
"summer","large","low",7.95,7.2,57.286,3.746,425.71399,291.14301,330,4.714,0,6.2,1.7,0,11.2,1.7,1.7
"spring","large","medium",7.96,5.5,131.364,3.313,810.90002,311.45499,349.81799,20.47,2.7,8.3,1.5,1,0,0,3.2
"autumn","large","medium",8.03,7.83,83.023,4.065,1222.81006,240.545,269.091,6.809,5,0,0,4.1,4.7,15.3,0
"winter","large","medium",8.35,2.75,97.733,3.681,137.444,91,155.556,2.744,0,3.4,1.8,0,6.7,25.2,0
"summer","large","medium",8.15,10.4,189.567,5.011,162.944,135.778,219.278,2.859,0,19.2,3.4,0,1.2,5.8,1.2
"winter","large","high",8.5,10.1,3,0.851,37.778,10.778,23.889,0.5,37.5,3.6,20.2,0,3.4,0,0
"winter","large","medium",8.5,11.4,3,0.774,10.909,3.727,8.091,3.6,35.9,12.4,0,0,0,0,0
"spring","large","medium",8.5,8.5,4.025,0.825,23.636,5.583,31.091,2.4,38.6,3.2,13.6,0,1.2,0,0
"autumn","large","medium",8.4,11.43,4.966,0.969,24.111,6,18.167,2.133,34.7,1.4,2.3,0,0,0,0
"spring","large","high",8.2,9.9,6.4,0.553,21.429,12,76.286,1.3,16,2.1,2.6,0,26.5,10.1,0
"autumn","large","high",8,10.98,9.7,0.874,67.7,26.6,51.034,2.2,26.7,0,0,0,0,4.9,0
"autumn","large","low",8.3,8.9,42.058,5.922,116.727,150.58299,220.72301,6.7,0,45.4,0,0,0,0,3.8
"spring","large","low",8.7,6.8,16.889,2.139,30,37.111,85.444,23.033,2.2,12,1.2,0,0,0,1
"winter","large","medium",8.6,10.4,15.182,2.502,140.909,31.909,77.7,15.318,4.8,0,0,0,8.7,23.3,30.8
"summer","large","medium",8,9.1,15.375,2.118,43.75,48.875,86.5,8.125,0,0,1,0,9.2,7.7,10.1
"summer","large","medium",8.2,9.5,17.875,2.363,63.75,44,77,8.463,1.5,29.5,22.1,5.4,0,1.5,0
"spring","large","medium",8.5,9.6,16.545,3.849,103.273,34.273,63.4,14.682,18.8,17.1,2.2,0,4.6,3.7,0
"spring","large","medium",8.04,9.3,130.263,3.776,131.008,97.5,152.966,6.15,0,8.7,0,1.4,2.2,4.1,1.9
"autumn","large","medium",7.95,9.1,76.886,3.461,93.827,68.333,146.049,3.95,1.2,31.2,5.7,0,3.5,3.5,0
"summer","small","high",7.25,9.54,NA,0.642,85,14.6,19.45,0.46,15.5,0,0,2.3,0,0,0
"autumn","small","high",7.64,10.3,34.235,2.942,41.43,17,41.567,7.43,23.2,0,0,0,27.6,11.1,0
"winter","small","high",7.92,8.5,10.867,1.715,199.54,3.222,27.2,1.9,74.2,0,0,3.7,0,0,0
"spring","small","high",7.62,9.4,11.055,1.51,13.56,4,12.65,1.456,13,8.6,1.2,3.5,1.2,1.6,1.9
"summer","medium","high",7.75,10.7,15.5,3.976,57.64,10.5,43.169,3.12,4.1,0,0,0,9.2,10.1,0
"winter","small","high",7.08,8.4,9.45,1.572,26.54,4,13.6,0.675,29.7,0,0,4.9,0,0,0
"summer","small","high",6.92,11.1,9.1,0.63,21,5,NA,2.46,30.3,1.9,0,0,2.1,1.4,2.1
"winter","small","high",8.1,9.8,14.34,0.73,22.5,23,45.5,0.85,17.1,0,19.6,0,0,0,2.5
"spring","small","high",7.2,11.3,8.97,0.23,134.5,13,19,NA,33.9,1,14.6,0,0,0,0
"spring","large","medium",8.61,10.1,3.518,0.663,12.22,3.222,7,1.3,48.3,2,0,0,0,0,0
"summer","large","medium",8.22,9.5,2.3,0.672,9.87,4,6.123,0.8,50.4,3.8,0,0,0,0,0
"winter","large","medium",8.53,10.5,3,0.758,10.35,4.1,NA,4,56.8,5,0,0,0,0,0
"summer","large","medium",8.4,10,3.51,0.866,29.65,5.8,15,2.86,17.3,6.7,19.7,0,0,0,0
"winter","large","high",8.1,10.9,9.056,0.825,41,20,58,NA,16.8,19.6,4,0,0,0,0
"summer","medium","high",8.12,10.2,7.613,0.699,33.56,28.034,49.658,2.2,18.1,1.7,2,0,1.7,5.9,0
"winter","large","low",8.43,10.8,35.642,6.225,134,103.5,NA,45.375,1.1,3.9,2.1,0,3.9,4.6,2.3
"winter","large","low",8.7,11.7,21.4656,3.765,91.45,38,83,17,0,4.7,0,0,2.6,2.6,0
"summer","large","low",8.1,8.2,26.54,2.805,42.75,48.5,88.125,13.98,0,12,1.7,0,2.7,0,0
"autumn","large","low",8.35,11.1,22.56,3.14,76.2,41,98.665,17.456,1.7,7,1.2,0,4.8,3.1,0
