Record,Location,X,Y,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
659,BANK ST @ CATHERINE ST,368038.2045,5030267.197,1/3/16,0:22,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
660,BANK ST @ CATHERINE ST,368040.1646,5030267.342,8/17/16,7:53,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
661,BANK ST @ CATHERINE ST,368039.9327,5030267.117,7/2/16,20:08,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle
662,BANK ST @ CATHERINE ST,368039.9989,5030267.566,10/4/16,16:16,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
663,BANK ST @ CECIL AVE,369944.9319,5026988.887,8/18/16,12:04,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
664,BANK ST @ CECIL AVE,369944.4869,5026988.869,3/19/16,10:41,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
665,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.8936,5030166.56,1/11/16,21:08,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
666,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.4926,5030166.782,10/30/16,15:08,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
667,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368081.7873,5030165.263,8/26/16,13:33,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
668,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.4926,5030166.343,9/20/16,18:46,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
669,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.0535,5030167.221,10/13/16,10:56,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
670,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.4926,5030166.343,11/5/16,13:49,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
671,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368083.654,5030165.768,1/11/16,1:39,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,02 - Angle
672,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368083.7769,5030166.121,1/3/16,22:14,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
673,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.8897,5030167.03,3/4/16,14:55,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
674,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368083.3855,5030166.338,3/21/16,11:12,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
675,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368083.3855,5030166.787,4/21/16,15:40,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
676,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.119,5030166.21,7/4/16,0:24,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
677,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.3334,5030166.852,6/25/16,10:38,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
678,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.791,5030166.601,6/20/16,2:12,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
679,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368081.6276,5030166.242,5/31/16,8:32,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
680,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.7572,5030167.007,12/31/16,15:23,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
681,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368082.6684,5030166.732,10/10/16,19:17,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,04 - Sideswipe
682,BANK ST @ CLEMOW AVE,368206.8829,5029866.344,8/29/16,17:15,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
683,BANK ST @ COLLINS AVE/WILDWOOD AVE,370050.4238,5026697.456,5/1/16,16:51,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
684,BANK ST @ CONROY RD,375044.7501,5022239.625,1/5/16,8:01,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other
685,BANK ST @ CONROY RD,375044.0256,5022239.058,5/28/16,12:50,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
686,BANK ST @ DALMENY RD/MARVELVILLE RD,385828.5535,5004368.806,7/17/16,16:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
687,BANK ST @ DAVIDSON RD/LESTER RD,373672.2083,5022924.186,2/20/16,17:13,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement
688,BANK ST @ ECHO DR,368661.9384,5028760.455,8/16/16,17:39,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
689,BANK ST @ ERIE AVE,370137.5222,5026479.446,8/18/16,19:31,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
690,BANK ST @ ERIE AVE,370136.3769,5026479.94,12/5/16,9:48,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other
691,BANK ST @ EVANS AVE,369917.8513,5027062.757,6/26/16,15:55,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,02 - Angle
692,BANK ST @ EXHIBITION WAY,368529.1428,5029086.037,9/3/16,21:58,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement
693,BANK ST @ EXHIBITION WAY,368530.1905,5029087.499,11/13/16,11:35,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
694,BANK ST @ EXHIBITION WAY,368529.3623,5029085.843,11/24/16,6:52,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,03 - Dawn,03 - P.D. only,03 - Rear end
695,BANK ST @ FIFTH AVE,368398.4939,5029400.339,10/19/16,16:29,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement
696,BANK ST @ FIFTH AVE,368398.0548,5029401.217,10/6/16,18:44,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,04 - Sideswipe
697,BANK ST @ FIFTH AVE,368398.9407,5029400.104,3/4/16,18:42,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,04 - Sideswipe
698,BANK ST @ FIFTH AVE,368398.4939,5029400.339,11/25/16,19:26,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement
699,BANK ST @ FINDLAY CREEK SC/310 S OF FINDLAY CREEK DR,375967.5345,5020175.263,11/21/16,8:43,03 - Snow,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
700,BANK ST @ FINDLAY CREEK SC/310 S OF FINDLAY CREEK DR,375967.5345,5020175.263,7/5/16,6:35,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,99 - Other
701,BANK ST @ FINDLAY CREEK SC/310 S OF FINDLAY CREEK DR,375967.5345,5020175.263,11/24/16,10:42,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
702,BANK ST @ FOURTH AVE,368367.4908,5029475.889,5/16/16,4:48,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,03 - Dawn,03 - P.D. only,07 - SMV other
703,BANK ST @ FOURTH AVE,368368.1069,5029475.784,3/29/16,14:35,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
704,BANK ST @ GILMOUR ST,367785.7014,5030774.571,6/3/16,18:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
705,BANK ST @ GLADSTONE AVE,367915.6087,5030561.912,1/13/16,13:25,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
706,BANK ST @ GLADSTONE AVE,367918.3627,5030561.328,10/6/16,8:05,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
707,BANK ST @ GLADSTONE AVE,367916.2018,5030561.841,3/2/16,19:38,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,02 - Angle
708,BANK ST @ GLADSTONE AVE,367915.6087,5030562.79,12/6/16,19:16,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement
709,BANK ST @ GLEBE AVE,368239.8826,5029787.562,12/2/16,19:35,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,99 - Other
710,BANK ST @ GLOUCESTER ST,367523.4875,5031197.484,1/12/16,16:10,03 - Snow,02 - Wet,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,04 - Sideswipe
711,BANK ST @ HERON RD,369995.0382,5026851.088,7/9/16,21:11,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end
712,BANK ST @ HERON RD,369995.942,5026851.764,3/5/16,11:49,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
713,BANK ST @ HERON RD,369996.3786,5026850.884,1/8/16,13:37,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
714,BANK ST @ HERON RD,369995.498,5026852.652,2/17/16,11:40,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement
715,BANK ST @ HERON RD,369995.9445,5026851.318,2/25/16,7:35,04 - Freezing Rain,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
716,BANK ST @ HERON RD,369995.9445,5026851.767,4/4/16,8:52,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
717,BANK ST @ HERON RD,369995.4953,5026850.643,5/4/16,11:03,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
718,BANK ST @ HERON RD,369996.8474,5026851.768,5/5/16,12:10,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
719,BANK ST @ HERON RD,369993.2355,5026852.784,8/28/16,16:59,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
720,BANK ST @ HERON RD,369994.6491,5026851.81,8/22/16,14:59,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
721,BANK ST @ HERON RD,369997.3763,5026851.128,11/20/16,21:31,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other
722,BANK ST @ HERON RD,369996.4018,5026851.542,8/6/16,14:49,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
723,BANK ST @ HERON RD,369995.0466,5026851.318,2/25/16,17:44,02 - Rain,04 - Slush,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,03 - Rear end
724,BANK ST @ HERON RD,369995.0614,5026851.323,5/3/16,7:57,"07 - Fog, mist, smoke, dust",01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
725,BANK ST @ HERON RD,369996.1792,5026851.772,6/22/16,12:30,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
726,BANK ST @ HERON RD,369995.0436,5026852.67,5/30/16,11:23,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
727,BANK ST @ HERON RD,369996.3964,5026852.219,4/23/16,14:38,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
728,BANK ST @ HERON RD,369995.9473,5026851.997,8/19/16,15:40,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
729,BANK ST @ HERON RD,369996.3964,5026851.317,5/30/16,9:07,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
730,BANK ST @ HERON RD,369995.72,5026850.3,8/23/16,14:47,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
731,BANK ST @ HERON RD,369997.3763,5026852.784,9/13/16,12:46,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
732,BANK ST @ HERON RD,369994.8918,5026851.128,12/22/16,14:26,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
733,BANK ST @ HERON RD,369994.2999,5026851.306,12/23/16,19:46,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
734,BANK ST @ HERON RD,369995.72,5026851.128,12/6/16,14:54,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
735,BANK ST @ HERON RD,369994.0637,5026850.3,12/1/16,13:11,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
736,BANK ST @ HOLMWOOD AVE,368483.3643,5029195.488,11/15/16,15:24,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
737,BANK ST @ HOLMWOOD AVE,368480.8798,5029197.145,12/18/16,12:26,01 - Clear,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,01 - Approaching
738,BANK ST @ HOLMWOOD AVE,368482.5362,5029198.801,8/12/16,11:30,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
739,BANK ST @ HOLMWOOD AVE,368482.3844,5029196.431,6/16/16,9:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
740,BANK ST @ HOLMWOOD AVE,368482.215,5029196.291,7/7/16,14:06,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
741,BANK ST @ HOLMWOOD AVE,368481.9335,5029197.784,5/17/16,17:08,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
742,BANK ST @ HOLMWOOD AVE,368482.8354,5029198.235,5/25/16,8:51,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
743,BANK ST @ HUNT CLUB RD,371607.6388,5024096.726,2/12/16,18:12,03 - Snow,06 - Ice,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end
744,BANK ST @ HUNT CLUB RD,371608.956,5024097.165,2/6/16,21:12,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle
745,BANK ST @ HUNT CLUB RD,371608.0413,5024096.738,7/19/16,14:40,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
746,BANK ST @ HUNT CLUB RD,371608.956,5024096.726,6/23/16,15:44,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,02 - Angle
747,BANK ST @ HUNT CLUB RD,371608.7365,5024096.92,12/15/16,10:26,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
748,BANK ST @ HUNT CLUB RD,371609.8601,5024096.956,5/13/16,19:43,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
749,BANK ST @ HUNT CLUB RD,371608.517,5024096.287,2/5/16,17:13,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
750,BANK ST @ HUNT CLUB RD,371611.221,5024094.85,8/31/16,17:36,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
751,BANK ST @ HUNT CLUB RD,371607.9083,5024095.264,8/28/16,16:26,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
752,BANK ST @ HUNT CLUB RD,371608.956,5024096.726,2/19/16,10:52,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
753,BANK ST @ HUNT CLUB RD,371608.956,5024096.287,9/2/16,14:38,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,99 - Other
754,BANK ST @ HUNT CLUB RD,371609.5647,5024094.436,8/11/16,16:06,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
755,BANK ST @ HUNT CLUB RD,371608.961,5024096.731,4/29/16,0:46,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
756,BANK ST @ HUNT CLUB RD,371608.6597,5024096.491,1/16/16,10:58,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
757,BANK ST @ HUNT CLUB RD,371608.5021,5024096.57,1/8/16,11:46,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
758,BANK ST @ HUNT CLUB RD,371609.3951,5024095.848,1/18/16,8:28,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
759,BANK ST @ HUNT CLUB RD,371608.961,5024095.833,2/19/16,22:30,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
760,BANK ST @ HUNT CLUB RD,371609.0028,5024095.707,4/2/16,16:48,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
761,BANK ST @ HUNT CLUB RD,371608.4702,5024096.773,3/28/16,6:40,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
762,BANK ST @ HUNT CLUB RD,371609.3951,5024096.726,9/20/16,0:25,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
763,BANK ST @ HUNT CLUB RD,371609.4318,5024097.201,4/19/16,14:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
764,BANK ST @ HUNT CLUB RD,371608.4702,5024096.24,2/8/16,17:08,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
765,BANK ST @ HUNT CLUB RD,371608.962,5024096.732,5/19/16,17:39,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
766,BANK ST @ HUNT CLUB RD,371608.0601,5024097.183,6/3/16,17:10,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
767,BANK ST @ HUNT CLUB RD,371609.191,5024096.506,5/3/16,17:30,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
768,BANK ST @ HUNT CLUB RD,371609.5647,5024096.92,7/25/16,16:10,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other
769,BANK ST @ HUNT CLUB RD,371607.6388,5024096.287,11/15/16,16:50,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,04 - Sideswipe
770,BANK ST @ HUNT CLUB RD,371607.9083,5024095.264,11/24/16,8:45,01 - Clear,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
771,BANK ST @ HUNT CLUB RD,371607.9083,5024096.92,11/30/16,12:41,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
772,BANK ST @ JOHN QUINN RD,383423.8851,5010702.633,12/1/16,7:54,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
773,BANK ST @ JOHNSTON RD,370851.511,5024839.308,2/25/16,18:15,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end
774,BANK ST @ JOHNSTON RD,370851.95,5024838.43,2/1/16,15:28,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
775,BANK ST @ JOHNSTON RD,370851.0719,5024838.869,2/1/16,17:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end
776,BANK ST @ JOHNSTON RD,370851.5061,5024839.77,3/31/16,8:27,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
777,BANK ST @ JOHNSTON RD,370851.955,5024838.406,4/22/16,11:47,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
778,BANK ST @ JOHNSTON RD,370851.7305,5024837.458,11/7/16,9:03,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
779,BANK ST @ JOHNSTON RD,370852.0859,5024841.553,12/7/16,14:19,03 - Snow,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
780,BANK ST @ JOHNSTON RD,370850.6328,5024839.747,11/16/16,20:13,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement
781,BANK ST @ JOHNSTON RD,370851.7305,5024839.298,3/7/16,8:45,01 - Clear,04 - Slush,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
782,BANK ST @ JOHNSTON RD,370851.5032,5024839.073,8/11/16,18:15,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
783,BANK ST @ JOHNSTON RD,370851.0541,5024840.204,6/22/16,12:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,01 - Approaching
784,BANK ST @ JOHNSTON RD,370852.1897,5024839.298,6/22/16,12:21,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
785,BANK ST @ JOHNSTON RD,370850.8523,5024839.528,1/18/16,16:05,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
786,BANK ST @ JOHNSTON RD,370852.266,5024840.867,9/6/16,12:44,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
787,BANK ST @ JOHNSTON RD,370851.0541,5024839.302,5/10/16,9:58,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
788,BANK ST @ KILBORN AVE/BELANGER AVE,369654.1545,5027427.426,9/1/16,11:46,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,02 - Angle
789,BANK ST @ KILBORN AVE/BELANGER AVE,369651.2354,5027428.79,10/6/16,12:05,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
790,BANK ST @ KILBORN AVE/BELANGER AVE,369653.6016,5027427.104,9/26/16,5:41,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle
791,BANK ST @ KILBORN AVE/BELANGER AVE,369652.649,5027427.816,8/12/16,14:51,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
792,BANK ST @ KILBORN AVE/BELANGER AVE,369653.7199,5027425.477,8/12/16,14:51,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
793,BANK ST @ KILBORN AVE/BELANGER AVE,369653.0435,5027426.871,6/3/16,7:03,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
794,BANK ST @ LAURIER AVE,367480.9198,5031266.247,1/26/16,11:05,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
795,BANK ST @ LAURIER AVE,367480.3097,5031264.026,5/23/16,7:59,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle
